id,date,round,hteam,ateam,hscore,ascore,venue,winner,complete,margin
35743,2024-04-13 19:30:00,5,Port Adelaide,Fremantle,66,63,Adelaide Oval,Port Adelaide,100,3
35744,2024-04-14 13:00:00,5,Geelong,North Melbourne,139,64,Kardinia Park,Geelong,100,75
35745,2024-04-14 16:00:00,5,West Coast,Richmond,109,70,Perth Stadium,West Coast,100,39
35746,2024-04-18 19:30:00,6,St Kilda,Western Bulldogs,64,124,Docklands,Western Bulldogs,100,-60
35747,2024-04-19 19:40:00,6,Adelaide,Essendon,75,78,Adelaide Oval,Essendon,100,-3
35748,2024-04-20 13:45:00,6,Collingwood,Port Adelaide,123,81,M.C.G.,Collingwood,100,42
35749,2024-04-20 16:35:00,6,Carlton,Greater Western Sydney,117,98,Docklands,Carlton,100,19
35750,2024-04-20 19:30:00,6,Brisbane Lions,Geelong,37,63,Gabba,Geelong,100,-26
35751,2024-04-20 20:10:00,6,West Coast,Fremantle,105,68,Perth Stadium,West Coast,100,37
35752,2024-04-21 13:05:00,6,Sydney,Gold Coast,110,57,S.C.G.,Sydney,100,53
35753,2024-04-21 16:05:00,6,North Melbourne,Hawthorn,68,113,Docklands,Hawthorn,100,-45
35754,2024-04-24 19:25:00,7,Richmond,Melbourne,42,85,M.C.G.,Melbourne,100,-43
35755,2024-04-25 15:20:00,7,Essendon,Collingwood,85,85,M.C.G.,,100,0
35756,2024-04-25 19:35:00,7,Greater Western Sydney,Brisbane Lions,113,59,Manuka Oval,Greater Western Sydney,100,54
35757,2024-04-26 19:40:00,7,Port Adelaide,St Kilda,82,72,Adelaide Oval,Port Adelaide,100,10
35758,2024-04-27 13:45:00,7,North Melbourne,Adelaide,81,138,Bellerive Oval,Adelaide,100,-57
35759,2024-04-27 16:35:00,7,Geelong,Carlton,118,105,M.C.G.,Geelong,100,13
35760,2024-04-27 19:40:00,7,Fremantle,Western Bulldogs,95,71,Perth Stadium,Fremantle,100,24
35761,2024-04-28 13:00:00,7,Gold Coast,West Coast,112,75,Carrara,Gold Coast,100,37
35762,2024-04-28 16:00:00,7,Hawthorn,Sydney,42,118,M.C.G.,Sydney,100,-76
35763,2024-05-02 19:30:00,8,Adelaide,Port Adelaide,78,48,Adelaide Oval,Adelaide,100,30
35764,2024-05-03 19:40:00,8,Carlton,Collingwood,79,85,M.C.G.,Collingwood,100,-6
35765,2024-05-04 13:45:00,8,Sydney,Greater Western Sydney,98,69,S.C.G.,Sydney,100,29
35766,2024-05-04 16:35:00,8,St Kilda,North Melbourne,103,65,Docklands,St Kilda,100,38
35767,2024-05-04 19:30:00,8,Melbourne,Geelong,74,66,M.C.G.,Melbourne,100,8
35768,2024-05-04 20:10:00,8,West Coast,Essendon,71,77,Perth Stadium,Essendon,100,-6
35769,2024-05-05 13:00:00,8,Richmond,Fremantle,49,103,M.C.G.,Fremantle,100,-54
35770,2024-05-05 16:00:00,8,Western Bulldogs,Hawthorn,91,98,Docklands,Hawthorn,100,-7
35771,2024-05-05 19:10:00,8,Brisbane Lions,Gold Coast,79,45,Gabba,Brisbane Lions,100,34
35772,2024-05-09 19:30:00,9,Carlton,Melbourne,77,76,M.C.G.,Carlton,100,1
35773,2024-05-10 19:10:00,9,Geelong,Port Adelaide,95,101,Kardinia Park,Port Adelaide,100,-6
35774,2024-05-10 20:30:00,9,Fremantle,Sydney,39,87,Perth Stadium,Sydney,100,-48
35775,2024-05-11 13:45:00,9,Hawthorn,St Kilda,58,53,York Park,Hawthorn,100,5
35776,2024-05-11 16:35:00,9,Essendon,Greater Western Sydney,82,62,Docklands,Essendon,100,20
35778,2024-05-11 19:30:00,9,Gold Coast,North Melbourne,120,52,Marrara Oval,Gold Coast,100,68
35777,2024-05-11 19:30:00,9,Richmond,Western Bulldogs,42,133,M.C.G.,Western Bulldogs,100,-91
35779,2024-05-12 13:00:00,9,Collingwood,West Coast,103,37,Docklands,Collingwood,100,66
35780,2024-05-12 16:00:00,9,Adelaide,Brisbane Lions,90,90,Adelaide Oval,,100,0
35781,2024-05-16 19:30:00,10,Gold Coast,Geelong,164,100,Marrara Oval,Gold Coast,100,64
35782,2024-05-17 19:40:00,10,Sydney,Carlton,117,65,S.C.G.,Sydney,100,52
35783,2024-05-18 13:45:00,10,Collingwood,Adelaide,78,74,M.C.G.,Collingwood,100,4
35784,2024-05-18 16:35:00,10,Greater Western Sydney,Western Bulldogs,43,70,Sydney Showground,Western Bulldogs,100,-27
35786,2024-05-18 19:30:00,10,Brisbane Lions,Richmond,163,44,Gabba,Brisbane Lions,100,119
35785,2024-05-18 19:30:00,10,St Kilda,Fremantle,55,72,Docklands,Fremantle,100,-17
35787,2024-05-19 13:10:00,10,Essendon,North Melbourne,106,66,Docklands,Essendon,100,40
35788,2024-05-19 15:20:00,10,Port Adelaide,Hawthorn,80,79,Adelaide Oval,Port Adelaide,100,1
35789,2024-05-19 18:20:00,10,West Coast,Melbourne,105,70,Perth Stadium,West Coast,100,35
